Codigo,Familias,Nombre,Alias,Tasa,Unidad
MA-INOX-COD-RO-3x90,,"CODO ROSC. A/l SCH-40 T-304/304L 3"" X 90°",,,U
MA-INOX-COD-RO-4x90,,"CODO ROSC. A/l SCH-40 T-304/304L 4"" X 90°",,,U
MA-INOX-COUP-RO-½,,"COUPLING ROSC. A/l 304 SCH-40 1/2""",,,U
MA-INOX-COUP-RO-¾,,"COUPLING ROSC. A/l 304 SCH-40 3/4""",,,U
MA-INOX-COUP-RO-1,,"COUPLING ROSC. A/l 304 SCH-40 1""",,,U
MA-INOX-COUP-RO-1¼,,"COUPLING ROSC. A/l 304 SCH-40 1 1/4""",,,U
MA-INOX-COUP-RO-1½,,"COUPLING ROSC. A/l 304 SCH-40 1 1/2""",,,U
MA-INOX-COUP-RO-2,,"COUPLING ROSC. A/l 304 SCH-40 2""",,,U
MA-INOX-COUP-RO-3,,"COUPLING ROSC. A/l 304 SCH-40 3""",,,U
MA-INOX-COUP-RO-4,,"COUPLING ROSC. A/l 304 SCH-40 4""",,,U
MA-INOX-RED-RO-¾x½,,"REDUCCION BUSH ROSC. A/l 304/304L SCH-40 3/4"" X 1/2""",,,U
MA-INOX-RED-RO-1½x1,,"REDUCCION BUSH ROSC. A/l 304/304L SCH-40 1 1/2"" X 1""",,,U
MA-INOX-RED-RO-1½x1¼,,"REDUCCION BUSH ROSC. A/l 304/304L SCH-40 11/2X1 1/4""",,,U
MA-INOX-RED-RO-1x½,,"REDUCCION BUSH ROSC. A/l 304/304L SCH-40 1"" X 1/2""",,,U
MA-INOX-RED-RO-1x¾,,"REDUCCION BUSH ROSC. A/l 304/304L SCH-40 1"" X 3/4""",,,U
MA-INOX-RED-RO-2½x2,,"REDUCCION BUSH ROSC. A/l 304/304L SCH-40 2 1/2"" X 2""",,,U
MA-INOX-RED-RO-2x1½,,"REDUCCION BUSH ROSC. A/l 304/304L SCH-40 2"" X 11/2""",,,U
MA-INOX-RED-RO-3x2,,"REDUCCION BUSH ROSC. A/l 304/304L SCH-40 3"" X 2""",,,U
MA-INOX-RED-RO-3x2½,,"REDUCCION BUSH ROSC. A/l 304/304L SCH-40 3"" X 2 1/2""",,,U
MA-INOX-RED-RO-4x3,,"REDUCCION BUSH ROSC. A/l 304/304L SCH-40 4"" X 3""",,,U
MA-INOX-SCH40-TUB-?,,"TUBO REDONDO A/l 304 SCH-40 3/8"" X 20'",,,U
MA-INOX-SCH40-TUB-½,,"TUBO REDONDO A/l 304 SCH-40 1/2"" X 20'",,,U
MA-INOX-SCH40-TUB-¾,,"TUBO REDONDO A/l 304 SCH-40 3/4"" X 20'",,,U
MA-INOX-SCH40-TUB-1,,"TUBO REDONDO A/l 304 SCH-40 1"" X 20'",,,U
MA-INOX-SCH40-TUB-1¼,,"TUBO REDONDO A/l 304 SCH-40 1-1/4"" X 20'",,,U
MA-INOX-SCH40-TUB-1½,,"TUBO REDONDO A/l 304 SCH-40 1-1/2"" X 20'",,,U
MA-INOX-SCH40-TUB-2,,"TUBO REDONDO A/l 304 SCH-40 2"" X 20'",,,U
MA-INOX-SCH40-TUB-2½,,"TUBO REDONDO A/l 304 SCH-40 2-1/2"" X 20'",,,U
MA-INOX-SCH40-TUB-3,,"TUBO REDONDO A/l 304 SCH-40 3"" X 20'",,,U
MA-INOX-SCH40-TUB-4,,"TUBO REDONDO A/l 304 SCH-40 4"" X 20'",,,U
MA-INOX-SCH40-TUB-6,,"TUBO REDONDO A/l 304 SCH-40 6"" X 20'",,,U
MA-INOX-TEE-RO-½x90,,"TEE ROSC. A/l 304 SCH-40 1/2""",,,U
MA-INOX-TEE-RO-¾x90,,"TEE ROSC. A/l 304 SCH-40 3/4""",,,U
MA-INOX-TEE-RO-1½x90,,"TEE ROSC. A/l 304 SCH-40 1 1/2""",,,U
MA-INOX-TEE-RO-1x90,,"TEE ROSC. A/l 304 SCH-40 1""",,,U
MA-INOX-TEE-RO-2½x90,,"TEE ROSC. A/l 304 SCH-40 2 1/2""",,,U
